index,price,brand,model,year,condition,transmission,fuel_type,kilometers_run
153,2850000,toyota,hiace,2020,reconditioned,automatic,"petrol, octane",59662
154,2300000,toyota,axio,2020,reconditioned,automatic,"petrol, hybrid, octane",58563
155,2990000,toyota,prius,2020,reconditioned,automatic,hybrid,79000
156,4170000,toyota,allion,2019,reconditioned,automatic,"petrol, octane",50404
157,4210000,toyota,corolla cross,2022,reconditioned,automatic,"petrol, hybrid, octane",1310
158,4510000,toyota,corolla cross,2023,reconditioned,automatic,"petrol, hybrid, octane",11000
159,3760000,toyota,esquire,2020,reconditioned,automatic,"petrol, hybrid, octane",64937
160,4210000,toyota,corolla cross,2021,reconditioned,automatic,"petrol, hybrid, octane",62610
161,3420000,toyota,hiace,2020,reconditioned,automatic,"petrol, hybrid, octane",53721
162,2060000,toyota,yaris,2020,reconditioned,automatic,"hybrid, octane",92000
163,5450000,toyota,noah,2023,used,automatic,"petrol, hybrid, octane",54000
164,3850000,toyota,esquire,2019,reconditioned,automatic,petrol,32000
165,2880000,toyota,fielder,2020,reconditioned,automatic,hybrid,40000
166,2160000,toyota,yaris,2020,reconditioned,automatic,"hybrid, octane",139550
167,3650000,toyota,esquire,2020,reconditioned,automatic,"petrol, hybrid, octane",56278
168,4700000,toyota,noah,2022,reconditioned,automatic,hybrid,53485
169,2050000,toyota,aqua,2020,reconditioned,automatic,"petrol, hybrid, octane",102000
170,7490000,toyota,harrier,2020,reconditioned,automatic,"petrol, octane",30100
171,1850000,toyota,aqua,2020,reconditioned,automatic,"petrol, hybrid, octane",69415
172,3400000,toyota,esquire,2020,reconditioned,automatic,hybrid,200000
173,2400000,toyota,axio,2020,reconditioned,automatic,"petrol, hybrid, octane",152000
174,3350000,toyota,voxy,2021,reconditioned,automatic,"petrol, hybrid, octane",73900
175,4490000,honda,insight,2020,reconditioned,automatic,hybrid,26985
176,3920000,toyota,noah,2020,reconditioned,automatic,hybrid,42651
177,4090000,toyota,allion,2020,reconditioned,automatic,"petrol, octane",65214
178,4180000,toyota,allion,2020,reconditioned,automatic,petrol,2148
179,3900000,toyota,noah,2020,reconditioned,automatic,octane,100000
180,4150000,toyota,premio,2019,reconditioned,automatic,"petrol, octane",25000
181,4250000,toyota,hiace,2020,reconditioned,automatic,octane,90799
182,4090000,audi,a3,2018,used,automatic,"hybrid, octane",16000
183,3220000,toyota,prius,2020,reconditioned,automatic,"petrol, hybrid, octane",81159
184,3000000,toyota,yaris cross,2020,reconditioned,automatic,hybrid,60000
185,3500000,toyota,other model,2020,reconditioned,automatic,"petrol, octane",65000
186,2360000,toyota,axio,2020,reconditioned,automatic,"petrol, hybrid, octane",63412
187,2360000,toyota,axio,2020,reconditioned,automatic,"hybrid, octane",90500
188,6100000,nissan,x-trail,2022,reconditioned,automatic,"petrol, hybrid, octane",70000
189,4450000,toyota,corolla cross,2023,reconditioned,automatic,hybrid,28000
